code,name,listing_date,shares,listing_board
GEMS,Golden Energy Mines Tbk.,2011-11-17T00:00:00,5882353000,Utama
GGRM,Gudang Garam Tbk.,1990-08-27T00:00:00,1924088000,Utama
GGRP,Gunung Raja Paksi Tbk.,2019-09-19T00:00:00,12111376157,Pengembangan
GHON,Gihon Telekomunikasi Indonesia,2018-04-09T00:00:00,550000000,Utama
GIAA,Garuda Indonesia (Persero) Tbk,2011-02-11T00:00:00,25886576254,Utama
GJTL,Gajah Tunggal Tbk.,1990-05-08T00:00:00,3484800000,Utama
GLOB,Globe Kita Terang Tbk.,2012-07-10T00:00:00,1111112000,Pengembangan
GLVA,Galva Technologies Tbk.,2019-12-23T00:00:00,1500000000,Pengembangan
GMFI,Garuda Maintenance Facility Ae,2017-10-10T00:00:00,28233511500,Utama
GMTD,Gowa Makassar Tourism Developm,2000-12-11T00:00:00,101538000,Pengembangan
GOLD,Visi Telekomunikasi Infrastruk,2010-07-07T00:00:00,1277276000,PENGEMBANGAN
GOLL,Golden Plantation Tbk.,2014-12-23T00:00:00,3665000759,Pengembangan
GOOD,Garudafood Putra Putri Jaya Tb,2018-10-10T00:00:00,36897901455,Utama
GPRA,Perdana Gapuraprima Tbk.,2007-10-10T00:00:00,4276655336,Utama
GPSO,Geoprima Solusi Tbk.,2021-09-06T00:00:00,666666723,Pengembangan
GSMF,Equity Development Investment ,1989-10-23T00:00:00,14230399705,Pengembangan
GTBO,Garda Tujuh Buana Tbk,2009-07-09T00:00:00,2500000000,Pengembangan
GTSI,GTS Internasional Tbk.,2021-09-08T00:00:00,15819142767,Utama
GWSA,Greenwood Sejahtera Tbk.,2011-12-23T00:00:00,7800760000,UTAMA
GZCO,Gozco Plantations Tbk.,2008-05-15T00:00:00,6000000000,Utama
HADE,Himalaya Energi Perkasa Tbk.,2004-04-12T00:00:00,2120000000,PENGEMBANGAN
HAIS,Hasnur Internasional Shipping ,2021-09-01T00:00:00,2626250000,Utama
HDFA,Radana Bhaskara Finance Tbk.,2011-05-10T00:00:00,6542445783,Utama
HDIT,Hensel Davest Indonesia Tbk.,2019-07-12T00:00:00,1524680000,Utama
HDTX,Panasia Indo Resources Tbk.,1990-06-06T00:00:00,3601462800,Utama
HEAL,Medikaloka Hermina Tbk.,2018-05-16T00:00:00,14890000000,Utama
HELI,Jaya Trishindo Tbk.,2018-03-27T00:00:00,832862387,Pengembangan
HERO,Hero Supermarket Tbk.,1989-08-21T00:00:00,4183634000,Utama
HEXA,Hexindo Adiperkasa Tbk.,1995-02-13T00:00:00,840000000,Utama
HITS,Humpuss Intermoda Transportasi,1997-12-15T00:00:00,7101084801,Utama
HKMU,HK Metals Utama Tbk.,2018-10-09T00:00:00,3221750000,Utama
HMSP,H.M. Sampoerna Tbk.,1990-08-15T00:00:00,116318076900,Utama
HOKI,Buyung Poetra Sembada Tbk.,2017-06-22T00:00:00,9677752680,Utama
HOME,Hotel Mandarine Regency Tbk.,2008-07-17T00:00:00,22212194782,PENGEMBANGAN
HOMI,Grand House Mulia Tbk.,2020-09-10T00:00:00,787500000,Pengembangan
HOPE,Harapan Duta Pertiwi Tbk.,2021-05-24T00:00:00,2129167100,PENGEMBANGAN
